Brand,Product Name,Category,Ingredient Details,Ingredient Types,Is Harmful?,Reason for Harmful,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternative,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacturing,Expiration Detail
Nestlé,Aero,Chocolate Bar,"Sugar, Skimmed Milk Powder, Cocoa Butter, Lactose, Cocoa Mass, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,8,UK,12 months
Nestlé,Munch,Chocolate Bar,"Sugar, Skimmed Milk Powder, Cocoa Butter, Palm Oil, Lactose, Wheat Flour, Cocoa Mass, Salt, Soy Lecithin, Barley Malt Extract, Artificial Flavour","Grains, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Granola Bar,"Contains whole grains, nuts, dried fruit",Yes,1,14,UK,12 months
Nestlé,Milkybar,Chocolate Bar,"Sugar, Skimmed Milk Powder, Lactose, Cocoa Butter, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,7,UK,12 months
Nestlé,Lion,Chocolate Bar,"Sugar, Peanuts, Skimmed Milk Powder, Cocoa Butter, Palm Oil, Lactose, Cocoa Mass, Salt, Soy Lecithin, Barley Malt Extract, Artificial Flavour","Nuts, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Trail Mix,"Contains nuts, dried fruit",Yes,1,14,UK,12 months
Nestlé,After Eight,Chocolate,"Sugar, Cocoa Mass, Cocoa Butter, Glucose Syrup, Skimmed Milk Powder, Emulsifier (Soya Lecithin), Flavouring, Peppermint Oil","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,9,UK,12 months
Nestlé,Quality Street,Assorted Chocolates,"Sugar, Cocoa Butter, Cocoa Mass, Skimmed Milk Powder, Glucose Syrup, Vegetable Fat (Palm), Emulsifier (Soya Lecithin), Flavouring, Almonds, Hazelnuts, Milk Chocolate, Dark Chocolate, White Chocolate","Dairy, Nuts, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,16,UK,12 months
Nestlé,Rolo,Candy,"Sugar, Skimmed Milk Powder, Cocoa Butter, Palm Oil, Lactose, Cocoa Mass, Salt, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Fruit,"Contains vitamins, minerals, and fiber",Yes,1,11,UK,12 months
Nestlé,Polo,Candy,"Sugar, Glucose Syrup, Skimmed Milk Powder, Cocoa Butter, Cocoa Mass, Vegetable Fat (Palm), Emulsifier (Soya Lecithin), Flavouring, Peppermint Oil","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Fruit,"Contains vitamins, minerals, and fiber",Yes,1,10,UK,12 months
Nestlé,Smarties,Candy,"Sugar, Cornstarch, Nonfat Milk, Cocoa Processed with Alkali, Less than 2% of: Lactose, Artificial Flavor, Artificial Color (Includes Red 40 Lake, Blue 1 Lake, Yellow 5 Lake, Yellow 6 Lake, Blue 2 Lake, Red 40 Lake), BHT (to Preserve Freshness)","Sweeteners, Dairy, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Fruit,"Contains vitamins, minerals, and fiber",Yes,1,11,USA,12 months
Nestlé,Nesquik,Powdered Milk Beverage,"Skim Milk Powder, Sugar, Cocoa Processed with Alkali, Less than 2% of: Lactose, Salt, Artificial Flavor, Vitamin C (Ascorbic Acid), Vitamin E (Alpha Tocopherol Acetate), Vitamin A Palmitate, Vitamin D3, Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B12, Pantothenic Acid, Niacinamide, Riboflavin, Thiamin Hydrochloride, Folic Acid","Dairy, Sweeteners",Yes,High Sugar Content,1 serving/day,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Calories",Unsweetened Milk,Provides calcium and protein,Yes,1,17,USA,12 months
Nestlé,KitKat,Chocolate Bar,"Sugar, Wheat Flour, Cocoa Butter, Skim Milk Powder, Whole Milk Powder, Lactose, Palm Oil, Cocoa Mass, Salt, Soy Lecithin, Barley Malt Extract, Artificial Flavor","Grains, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Granola Bar,"Contains whole grains, nuts, dried fruit",Yes,1,15,USA,12 months
Nestlé,KitKat Chunky,Chocolate Bar,"Sugar, Wheat Flour, Cocoa Butter, Skim Milk Powder, Whole Milk Powder, Lactose, Palm Oil, Cocoa Mass, Salt, Soy Lecithin, Barley Malt Extract, Artificial Flavor","Grains, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Granola Bar,"Contains whole grains, nuts, dried fruit",Yes,1,15,USA,12 months
Nestlé,KitKat Ruby,Chocolate Bar,"Sugar, Cocoa Butter, Skimmed Milk Powder, Whole Milk Powder, Lactose, Palm Oil, Cocoa Mass, Salt, Soy Lecithin, Barley Malt Extract, Ruby Cocoa Beans, Artificial Flavor","Grains, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,16,USA,12 months
Nestlé,KitKat Senses,Chocolate Bar,"Sugar, Cocoa Butter, Skimmed Milk Powder, Whole Milk Powder, Lactose, Palm Oil, Cocoa Mass, Salt, Soy Lecithin, Barley Malt Extract, Artificial Flavor","Grains, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,15,USA,12 months
Nestlé,KitKat 4 Finger,Chocolate Bar,"Sugar, Wheat Flour, Cocoa Butter, Skim Milk Powder, Whole Milk Powder, Lactose, Palm Oil, Cocoa Mass, Salt, Soy Lecithin, Barley Malt Extract, Artificial Flavor","Grains, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Granola Bar,"Contains whole grains, nuts, dried fruit",Yes,1,15,USA,12 months
Nestlé,KitKat White,Chocolate Bar,"Sugar, Cocoa Butter, Skimmed Milk Powder, Whole Milk Powder, Lactose, Palm Oil, Cocoa Mass, Salt, Soy Lecithin, Barley Malt Extract, Artificial Flavor","Grains, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,15,USA,12 months
Nestlé,KitKat Gold,Chocolate Bar,"Sugar, Wheat Flour, Cocoa Butter, Skim Milk Powder, Whole Milk Powder, Lactose, Palm Oil, Cocoa Mass, Salt, Soy Lecithin, Barley Malt Extract, Artificial Flavor","Grains, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,15,USA,12 months
Nestlé,Cailler,Chocolate Bar,"Sugar, Cocoa Mass, Cocoa Butter, Skimmed Milk Powder, Lactose, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,8,Switzerland,12 months
Nestlé,Cailler,Dark Chocolate Bar,"Sugar, Cocoa Mass, Cocoa Butter, Emulsifier (Soya Lecithin), Flavouring","Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,6,Switzerland,12 months
Nestlé,Cailler,Milk Chocolate Bar,"Sugar, Cocoa Mass, Cocoa Butter, Skimmed Milk Powder, Lactose, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,8,Switzerland,12 months
Nestlé,Aero Bubble,Chocolate Bar,"Sugar, Skimmed Milk Powder, Cocoa Butter, Lactose, Cocoa Mass, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,8,UK,12 months
Nestlé,Aero Peppermint,Chocolate Bar,"Sugar, Skimmed Milk Powder, Cocoa Butter, Lactose, Cocoa Mass, Emulsifier (Soya Lecithin), Flavouring, Peppermint Oil","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,9,UK,12 months
Nestlé,Aero Orange,Chocolate Bar,"Sugar, Skimmed Milk Powder, Cocoa Butter, Lactose, Cocoa Mass, Emulsifier (Soya Lecithin), Flavouring, Orange Oil","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,9,UK,12 months
Nestlé,Aero Mint,Chocolate Bar,"Sugar, Skimmed Milk Powder, Cocoa Butter, Lactose, Cocoa Mass, Emulsifier (Soya Lecithin), Flavouring, Peppermint Oil","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,9,UK,12 months
Nestlé,Aero Dark,Chocolate Bar,"Sugar, Cocoa Mass, Cocoa Butter, Skimmed Milk Powder, Lactose, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,8,UK,12 months
Nestlé,Aero Dark & Milk,Chocolate Bar,"Sugar, Cocoa Mass, Cocoa Butter, Skimmed Milk Powder, Lactose, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,8,UK,12 months
Nestlé,Rolo,Candy,"Sugar, Skimmed Milk Powder, Cocoa Butter, Palm Oil, Lactose, Cocoa Mass, Salt, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Fruit,"Contains vitamins, minerals, and fiber",Yes,1,11,UK,12 months
Nestlé,Rolo Mini,Candy,"Sugar, Skimmed Milk Powder, Cocoa Butter, Palm Oil, Lactose, Cocoa Mass, Salt, Emulsifier (Soya Lecithin), Flavouring","Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Fruit,"Contains vitamins, minerals, and fiber",Yes,1,11,UK,12 months
Nestlé,Smarties Tubes,Candy,"Sugar, Cornstarch, Nonfat Milk, Cocoa Processed with Alkali, Less than 2% of: Lactose, Artificial Flavor, Artificial Color (Includes Red 40 Lake, Blue 1 Lake, Yellow 5 Lake, Yellow 6 Lake, Blue 2 Lake, Red 40 Lake), BHT (to Preserve Freshness)","Sweeteners, Dairy, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Fruit,"Contains vitamins, minerals, and fiber",Yes,1,11,USA,12 months
Nestlé,Smarties Giant Buttons,Candy,"Sugar, Cornstarch, Nonfat Milk, Cocoa Processed with Alkali, Less than 2% of: Lactose, Artificial Flavor, Artificial Color (Includes Red 40 Lake, Blue 1 Lake, Yellow 5 Lake, Yellow 6 Lake, Blue 2 Lake, Red 40 Lake), BHT (to Preserve Freshness)","Sweeteners, Dairy, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Fruit,"Contains vitamins, minerals, and fiber",Yes,1,11,USA,12 months
Hershey's,Milk Chocolate Bar,Chocolate,"Sugar, Cocoa Butter, Chocolate Liquor, Milk Solids, Soy Lecithin, Vanillin","Sweeteners, Fats, Dairy, Emulsifiers, Flavoring",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,7,USA,12 months
Hershey's,Kisses Milk Chocolate,Chocolate,"Sugar, Cocoa Butter, Chocolate Liquor, Skim Milk Powder, Lactose, Soy Lecithin, Vanillin","Sweeteners, Fats, Dairy, Emulsifiers, Flavoring",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate Kisses,"Contains higher cocoa content, less sugar",Yes,1,8,USA,12 months
Hershey's,Kisses Milk Chocolate with Almonds,Chocolate,"Sugar, Cocoa Butter, Chocolate Liquor, Skim Milk Powder, Lactose, Almonds, Soy Lecithin, Vanillin","Sweeteners, Fats, Dairy, Nuts, Emulsifiers, Flavoring",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate Kisses with Almonds,"Contains higher cocoa content, less sugar",Yes,1,9,USA,12 months
Hershey's,Special Dark Mildly Sweet Chocolate,Chocolate,"Sugar, Chocolate Liquor, Cocoa Butter, Skim Milk Powder, Lactose, Soy Lecithin, Vanillin","Sweeteners, Fats, Dairy, Emulsifiers, Flavoring",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate with higher Cocoa Percentage,"Higher cocoa content, less sugar",Yes,1,8,USA,12 months
Hershey's,Extra Dark Chocolate Bar,Chocolate,"Sugar, Chocolate Liquor, Cocoa Butter, Skim Milk Powder, Lactose, Soy Lecithin, Vanillin","Sweeteners, Fats, Dairy, Emulsifiers, Flavoring",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate with higher Cocoa Percentage,"Higher cocoa content, less sugar",Yes,1,8,USA,12 months
Hershey's,Kisses Special Dark,Chocolate,"Sugar, Chocolate Liquor, Cocoa Butter, Skim Milk Powder, Lactose, Soy Lecithin, Vanillin","Sweeteners, Fats, Dairy, Emulsifiers, Flavoring",Yes,High Sugar Content,1Not Applicable2 servings/week,Yes (occasionally),Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate Kisses with higher Cocoa Percentage,"Higher cocoa content, less sugar",Yes,1,8,USA,12 months
Hershey's,Cookies 'n' Creme,Chocolate Bar,"Sugar, Cocoa Butter, Chocolate Liquor, Skim Milk Powder, Lactose, Cookies (Enriched Flour [Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid], Sugar, Palm 1 Oil, Cocoa (Processed with Alkali), High Fructose Corn Syrup, 2 Dextrose, Contains 2% or Less of: Soy Lecithin, Salt, Baking Soda, Vanillin, Artificial Flavor), Soy Lecithin, Vanillin","Sweeteners, Fats, Dairy, Grains, Emulsifiers, Flavoring",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,19,USA,12 months
Hershey's,Almond Joy,Candy Bar,"Sugar, Coconut, Almonds, Cocoa Butter, Skim Milk Powder, Lactose, Palm Oil, Cocoa Mass, Salt, Soy Lecithin, Vanillin, Artificial Flavor","Sweeteners, Fats, Dairy, Nuts, Emulsifiers, Flavoring",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,14,USA,12 months
Hershey's,Symphony,Chocolate Bar,"Sugar, Cocoa Butter, Chocolate Liquor, Skim Milk Powder, Lactose, Almonds, Hazelnuts, Soy Lecithin, Vanillin","Sweeteners, Fats, Dairy, Nuts, Emulsifiers, Flavoring",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,10,USA,12 months
Hershey's,Mr. Goodbar,Candy Bar,"Sugar, Peanuts, Corn Syrup, Yes Hydrogenated Vegetable Oil, Cocoa Butter, Dextrose, Lactose, Salt, Less than 2% of: Dextrin, Artificial Color (includes Blue 1 Lake, Blue 2 Lake, Red 40 Lake, Yellow 5 Lake, Yellow 6 Lake), Artificial Flavor, BHT (to maintain freshness)","Sweeteners, Nuts, Fats, Dairy",Yes,"High Sugar Content, Trans Fats",1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories, Trans Fat",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,2,16,USA,12 months
Hershey's,Krackel,Candy Bar,"Sugar, Rice Crisps (Rice Flour, Sugar, Malt Flavor), Skim Milk Powder, Cocoa Butter, Lactose, Whey Powder, Palm Oil, Cocoa Mass, Salt, Soy Lecithin, Artificial Flavor","Grains, Dairy, Sweeteners, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Granola Bar,"Contains whole grains, nuts, dried fruit",Yes,1,14,USA,12 months
Hershey's,Whatchamacallit,Candy Bar,"Sugar, Peanuts, Corn Syrup, Yes Hydrogenated Vegetable Oil, Cocoa Butter, Dextrose, Lactose, Salt, Less than 2% of: Dextrin, Artificial Color (includes Blue 1 Lake, Blue 2 Lake, Red 40 Lake, Yellow 5 Lake, Yellow 6 Lake), Artificial Flavor, BHT (to maintain freshness)","Sweeteners, Nuts, Fats, Dairy",Yes,"High Sugar Content, Trans Fats",1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories, Trans Fat",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,2,16,USA,12 months
Hershey's,Heath Bar,Candy Bar,"Sugar, Corn Syrup, Peanuts, Yes Hydrogenated Vegetable Oil, Cocoa Butter, Dextrose, Lactose, Salt, Less than 2% of: Dextrin, Artificial Color (includes Blue 1 Lake, Blue 2 Lake, Red 40 Lake, Yellow 5 Lake, Yellow 6 Lake), Artificial Flavor, BHT (to maintain freshness)","Sweeteners, Nuts, Fats, Dairy",Yes,"High Sugar Content, Trans Fats",1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories, Trans Fat",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,2,16,USA,12 months
Hershey's,PayDay,Candy Bar,"Sugar, Peanuts, Corn Syrup, Yes Hydrogenated Vegetable Oil, Cocoa Butter, Dextrose, Lactose, Salt, Less than 2% of: Dextrin, Artificial Color (includes Blue 1 Lake, Blue 2 Lake, Red 40 Lake, Yellow 5 Lake, Yellow 6 Lake), Artificial Flavor, BHT (to maintain freshness)","Sweeteners, Nuts, Fats, Dairy",Yes,"High Sugar Content, Trans Fats",1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories, Trans Fat",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,2,16,USA,12 months
Hershey's,3 Musketeers,Candy Bar,"Sugar, Corn Syrup, Skim Milk Powder, Cocoa Butter, Lactose, Palm Oil, Cocoa Mass, Salt, Soy Lecithin, Artificial Flavor","Sweeteners, Dairy, Fats",Yes,High Sugar Content,1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,1,13,USA,12 months
Hershey's,Twizzlers,Candy,"Sugar, Corn Syrup, Modified Food Starch, Citric Acid, Natural and Artificial Flavors, Colors (Red 40 Lake, Yellow 6 Lake, Blue 1 Lake, Yellow 5 Lake)","Sweeteners, Starches, Acids, Flavors, Colors",Yes,"High Sugar Content, Artificial Colors",1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Calories",Fruit,"Contains vitamins, minerals, and fiber",Yes,2,9,USA,12 months
Hershey's,Pot of Gold,Candy,"Sugar, Corn Syrup, Yes Hydrogenated Vegetable Oil, Cocoa Butter, Dextrose, Lactose, Salt, Less than 2% of: Dextrin, Artificial Color (includes Blue 1 Lake, Blue 2 Lake, Red 40 Lake, Yellow 5 Lake, Yellow 6 Lake), Artificial Flavor, BHT (to maintain freshness)","Sweeteners, Nuts, Fats, Dairy",Yes,"High Sugar Content, Trans Fats",1Not Applicable2 servings/week,No,Yes (occasionally),No,"High in Sugar, Fat, Calories, Trans Fat",Dark Chocolate,"Contains higher cocoa content, less sugar",Yes,2,16,USA,12 months
